FECHA,qoPPP[m3/dc],qlPP[m3/dc]
1981-07-01,62.04516,73.40323
1981-08-01,83.68065,93.70323
1981-09-01,61.56334,66.04333
1981-10-01,89.03548,100.5903
1981-11-01,87.25,95.38
1981-12-01,83.5,97.3871
1982-01-01,71.95484,98.08065
1982-02-01,61.325,91.20715
1982-03-01,74.04516,107.6968
1982-04-01,51.44667,110.7233
1982-05-01,43.68387,105.9677
1982-06-01,43.45,104.0267
1982-07-01,43.83548,104.2742
1982-08-01,42.45161,106.2323
1982-09-01,41.21667,106.09
1982-10-01,41.00322,105.5516
1982-11-01,40.44,105.1167
1982-12-01,31.29355,98.77742
1983-01-01,35.10968,102.4452
1983-02-01,32.51786,98.75
1983-03-01,26.80645,93.03226
1983-04-01,26.02,89.9
1983-05-01,26.20967,90.88709
1983-06-01,11.41667,41.00666
1983-07-01,39.93548,102.2806
1983-08-01,34.48709,92.93549
1983-09-01,31.04,86.08667
1983-10-01,27.87097,77.54194
1983-11-01,29.08,82.86
1983-12-01,27.04193,73.64839
1984-01-01,27.10645,73.30322
1984-02-01,27.05862,71.26897
1984-03-01,28.34839,74.56129
1984-04-01,24.83667,65.47
1984-05-01,21.70968,62.09678
1984-06-01,23.73,59.64667
1984-07-01,21.51935,55.1871
1984-08-01,21.67097,55.43871
1984-09-01,17.22333,59.49667
1984-10-01,20.34193,58.07419
1984-11-01,23.98,55.91334
1984-12-01,22.11936,52.29678
1985-01-01,22.4871,53.79678
1985-02-01,13.69643,31.85714
1985-03-01,19.46452,48.87097
1985-04-01,18.40333,52.8
1985-05-01,16.96129,49.87419
1985-06-01,14.94,43.04667
1985-07-01,17.16129,40.95484
1985-08-01,18.80645,43.00645
1985-09-01,11.77,39.64667
1985-10-01,11.63226,36.67097
1985-11-01,13.13333,37.37667
1985-12-01,10.45484,36.54516
1986-01-01,10.98387,37.45806
1986-02-01,13.16072,35.50357
1986-03-01,8.57419,35.66129
1986-04-01,11.73333,36.69
1986-05-01,8.8871,32.87097
1986-06-01,8.22667,27.57667
1986-07-01,7.82581,28.8129
1986-08-01,14.4,72.19678
1986-09-01,19.64,85.24333
1986-10-01,23.88064,98.68065
1986-11-01,24.12333,104.99
1986-12-01,24.0871,100.8161
1987-01-01,22.48388,97.33228
1987-02-01,19.475,97.49643
1987-03-01,21.10968,92.97098
1987-04-01,16.77333,74.20334
1987-05-01,19.71935,94.97097
1987-06-01,20.35667,99.84334
1987-07-01,20.88064,105.0
1987-08-01,16.62258,86.98387
1987-09-01,16.84333,98.39999
1987-10-01,18.11936,90.44839
1987-11-01,20.30333,100.92
1987-12-01,18.90645,109.9839
1988-01-01,18.95161,105.3032
1988-02-01,20.05862,110.9103
1988-03-01,23.33871,110.6581
1988-04-01,20.66334,102.5933
1988-05-01,22.38387,111.7452
1988-06-01,22.41,112.4033
1988-07-01,18.70323,93.88065
1988-08-01,22.4871,110.371
1988-09-01,24.67333,109.94
1988-10-01,24.74839,110.7839
1988-11-01,23.14,101.0967
1988-12-01,22.87742,103.5548
1989-01-01,26.09355,103.5903
1989-02-01,26.51429,104.4
1989-03-01,25.88387,103.5065
1989-04-01,23.33667,99.05667
1989-05-01,22.5,94.14516
1989-06-01,22.47,95.06667
1989-07-01,21.94194,95.74838
1989-08-01,20.95484,91.02904
1989-09-01,19.15334,85.98
1989-10-01,22.99355,98.69677
1989-11-01,14.15,90.63667
1989-12-01,13.1871,87.0387
1990-01-01,17.17097,85.08709
1990-02-01,12.44643,81.84643
1990-03-01,14.74839,82.24839
1990-04-01,17.22333,80.25667
1990-05-01,18.55806,71.51936
1990-06-01,15.32667,74.2
1990-07-01,14.58387,72.72259
1990-08-01,14.48387,69.71291
1990-09-01,10.83333,61.67667
1990-10-01,15.56452,73.9258
1990-11-01,15.81333,72.42
1990-12-01,14.04516,66.74516
1991-01-01,15.03226,68.64839
1991-02-01,12.75,64.90714
1991-03-01,17.27419,70.29032
1991-04-01,12.97333,69.97334
1991-05-01,9.8,70.27097
1991-06-01,9.69,68.99334
1991-07-01,9.02258,68.10967
1991-08-01,10.63548,66.41613
1991-09-01,11.11333,67.87666
1991-10-01,12.01613,66.00968
1991-11-01,8.84333,63.44333
1991-12-01,8.57097,66.05161
1992-01-01,8.56452,64.32581
1992-02-01,10.38276,64.15173
1992-03-01,9.99355,61.69355
1992-04-01,11.50667,63.31667
1992-05-01,10.37419,61.96129
1992-06-01,11.94333,60.87333
1992-07-01,9.2871,59.36129
1992-08-01,7.39032,56.34194
1992-09-01,9.47667,57.64
1992-10-01,7.77097,51.93226
1992-11-01,6.31,43.46667
1992-12-01,5.2,34.62258
1993-01-01,3.72581,29.80968
1993-02-01,6.82143,54.09286
1993-03-01,7.05806,53.69355
1993-04-01,8.15333,52.97334
1993-05-01,7.44516,53.93548
1993-06-01,7.4,53.89667
1993-07-01,8.40323,58.27097
1993-08-01,7.87097,55.04516
1993-09-01,7.60667,52.31333
1993-10-01,7.23226,51.05806
1993-11-01,6.26,49.63667
1993-12-01,4.84194,42.39677
1994-01-01,3.88065,42.24516
1994-02-01,5.08214,43.85714
1994-03-01,4.34516,43.17097
1994-04-01,3.87333,44.16333
1994-05-01,4.55806,43.93548
1994-06-01,5.46667,44.01
1994-07-01,4.71936,43.77097
1994-08-01,5.02903,45.15484
1994-09-01,5.00333,44.51
1994-10-01,4.32581,43.93548
1994-11-01,4.37,43.82333
1994-12-01,4.13548,41.37742
1995-01-01,4.96129,43.81935
1995-02-01,4.88214,44.19285
1995-03-01,4.54516,43.9742
1995-04-01,3.91,44.22667
1995-05-01,4.07097,44.21936
1995-06-01,3.64667,33.69333
1995-07-01,4.4129,44.09032
1995-08-01,5.44839,44.65807
1995-09-01,5.25,44.16667
1995-10-01,3.08065,41.8871
1995-11-01,3.57333,43.23
1995-12-01,4.49355,45.55162
1996-01-01,3.90323,45.53871
1996-02-01,4.65172,44.98965
1996-03-01,3.91936,43.80645
1996-04-01,3.79,41.08667
1996-05-01,3.83548,41.72581
1996-06-01,4.47333,43.02666
1996-07-01,3.84839,42.21936
1996-08-01,4.92903,43.88065
1996-09-01,4.53333,42.54
1996-10-01,2.7129,21.02581
1996-11-01,1.94333,40.27
1996-12-01,3.31936,34.57096
1997-01-01,2.69678,33.86129
1997-02-01,2.54286,31.96428
1997-03-01,3.34194,30.4871
1997-04-01,4.19667,38.55667
1997-05-01,4.84194,46.90322
1997-06-01,4.46667,43.63334
1997-07-01,4.25161,48.37742
1997-08-01,4.58387,48.65161
1997-09-01,4.29333,48.03333
1997-10-01,4.32258,50.23871
1997-11-01,4.72,50.45333
1997-12-01,4.52903,50.66774
1998-01-01,4.94194,50.85484
1998-02-01,3.78571,31.725
1998-03-01,2.58387,23.55807
1998-04-01,6.99333,47.97667
1998-05-01,3.99316,47.93621
1998-06-01,3.97971,47.85946
1998-07-01,3.96625,47.77827
1998-08-01,3.95277,47.70043
1998-09-01,3.93934,47.62293
1998-10-01,3.92614,47.5448
1998-11-01,3.9129,47.46445
1998-12-01,3.89979,47.38911
1999-01-01,3.88637,47.30903
1999-02-01,3.87372,47.23587
1999-03-01,3.86106,47.15795
1999-04-01,3.8481,47.08363
1999-05-01,3.83513,47.0046
1999-06-01,3.82216,46.92747
1999-07-01,3.80934,46.85125
1999-08-01,3.79634,46.77344
1999-09-01,3.78351,46.69805
1999-10-01,3.77076,46.62002
1999-11-01,3.75808,46.5444
1999-12-01,3.74538,46.46667
2000-01-01,3.73259,46.39113
2000-02-01,3.72022,46.31418
2000-03-01,3.70783,46.24238
2000-04-01,3.69544,46.16354
2000-05-01,3.68295,46.08896
2000-06-01,3.67058,46.01445
